"","N_B_RNA3","N_B_RNA5","M_W_RNA6","N_B_RNA10","N_B_RNA11","M_W_RNA12","M_W_RNA14","M_W_RNA16","M_W_RNA17"
"ENSG00000165995.19",175,348,291,295,342,262,258,263,256
"ENSG00000235020.4",0,0,0,0,0,0,0,0,0
"ENSG00000240291.1",4,58,99,61,141,154,76,95,69
"ENSG00000225527.1",2,22,12,19,35,37,23,10,32
"ENSG00000241058.3",122,564,634,600,972,845,468,470,636
"ENSG00000165997.4",109,1428,3172,1336,2348,2087,1096,1920,1387
"ENSG00000225509.1",0,0,0,0,0,0,0,0,0
"ENSG00000234244.1",0,0,0,0,0,0,1,0,0
"ENSG00000234813.1",0,0,0,0,0,0,0,0,0
"ENSG00000204740.10",9,6,4,178,24,0,28,0,6
"ENSG00000226255.1",0,0,0,0,0,0,0,0,0
"ENSG00000227734.1",0,0,0,0,0,0,0,0,0
"ENSG00000239539.1",0,0,0,0,0,0,0,0,0
"ENSG00000236960.1",0,0,0,0,0,0,0,0,0
"ENSG00000200545.2",0,0,0,0,0,0,0,0,0
"ENSG00000252001.1",0,0,0,0,0,0,0,0,0
"ENSG00000233968.6",0,0,0,0,4,14,1,0,4
"ENSG00000283456.1",0,0,0,0,0,0,0,0,0
"ENSG00000230818.1",0,3,0,2,0,0,7,0,0
"ENSG00000252832.1",0,0,0,0,0,0,0,0,0
"ENSG00000285852.1",0,2,0,6,0,0,2,0,3
"ENSG00000120594.16",712,3888,3335,3486,3372,4617,3871,1541,3860
"ENSG00000238246.1",0,0,0,0,0,0,0,0,0
"ENSG00000228339.1",0,10,3,7,3,12,5,0,6
"ENSG00000270727.1",0,0,7,0,0,24,0,0,0
"ENSG00000265372.1",0,0,0,0,0,0,0,0,0
"ENSG00000078114.18",291,2442,2907,3329,3143,1709,2882,1804,3864
"ENSG00000235940.1",0,0,0,0,0,0,0,0,0
"ENSG00000230112.1",0,0,0,0,0,3,0,0,0
"ENSG00000228753.1",1,1,1,0,2,1,0,0,0
"ENSG00000228219.1",0,0,0,0,0,0,0,0,0
"ENSG00000204683.11",5,23,35,34,35,3,18,10,38
"ENSG00000231920.1",12,19,17,22,19,0,19,6,12
"ENSG00000228860.1",0,0,0,0,0,0,0,0,0
"ENSG00000232853.1",0,0,0,0,0,0,0,0,0
"ENSG00000207264.1",0,1,7,1,6,0,0,5,0
"ENSG00000230109.1",0,1,0,0,0,0,0,0,0
"ENSG00000231553.1",0,0,0,0,0,0,0,0,0
"ENSG00000278650.1",0,0,0,0,0,0,0,0,0
"ENSG00000273566.1",0,0,0,0,0,0,0,0,0
"ENSG00000199222.1",0,0,0,0,0,0,0,0,0
"ENSG00000204682.5",0,11,2,3,18,1,23,10,8
"ENSG00000222071.1",0,0,0,0,0,0,0,0,0
"ENSG00000180592.16",8,39,7,40,77,5,46,17,30
"ENSG00000078403.16",401,1694,1061,1654,2029,1826,1262,1398,1731
"ENSG00000207347.1",0,0,0,0,0,0,0,0,0
"ENSG00000223984.1",0,1,0,1,1,1,0,0,2
"ENSG00000201390.1",0,0,0,0,0,0,0,0,0
"ENSG00000136770.10",279,1260,1348,803,1786,1756,872,828,1060
"ENSG00000252634.1",0,0,0,0,0,0,0,0,0
"ENSG00000279623.1",0,16,26,6,17,0,20,7,12
"ENSG00000201364.1",0,0,0,0,0,0,0,0,0
"ENSG00000232497.1",0,0,0,0,0,0,0,0,0
"ENSG00000236777.1",0,0,0,0,0,0,0,0,0
"ENSG00000223601.2",0,3,0,0,0,0,0,0,0
"ENSG00000260205.1",0,0,0,0,0,0,0,0,0
"ENSG00000227462.1",0,0,0,0,1,0,0,0,0
"ENSG00000279631.1",15,61,16,21,38,23,32,8,46
"ENSG00000261671.1",0,14,2,4,9,0,11,0,7
"ENSG00000233318.2",0,0,0,0,0,0,0,0,0
"ENSG00000148444.15",67,248,280,243,373,115,171,243,293
"ENSG00000269897.5",0,0,0,0,0,0,0,0,0
"ENSG00000168283.13",57,1455,1380,1167,2412,1388,1166,954,1241
"ENSG00000272516.1",0,1,1,1,1,6,1,1,1
"ENSG00000271981.1",0,0,0,2,0,0,0,0,0
"ENSG00000272366.1",0,0,0,0,0,0,0,0,0
"ENSG00000077327.15",0,55,154,40,393,27,42,13,7
"ENSG00000233451.1",0,0,0,0,11,13,4,0,0
"ENSG00000285254.1",0,0,0,0,0,0,0,0,0
"ENSG00000150867.13",260,504,1271,314,769,713,334,340,449
"ENSG00000279819.1",18,23,37,37,23,46,25,10,58
"ENSG00000206842.1",0,0,0,0,0,0,0,0,0
"ENSG00000165309.13",0,4,24,1,26,19,5,13,3
"ENSG00000223131.1",0,0,0,0,0,0,1,0,0
"ENSG00000148450.12",82,359,354,375,412,317,294,335,340
"ENSG00000229932.3",11,5,16,13,8,22,5,4,4
"ENSG00000252049.1",0,0,0,0,0,0,0,0,0
"ENSG00000168267.6",0,1,0,0,0,0,0,0,0
"ENSG00000179133.13",0,0,0,0,1,0,0,0,0
"ENSG00000227537.1",0,0,0,0,0,0,0,0,0
"ENSG00000224215.1",0,0,0,0,0,0,0,0,0
"ENSG00000264574.1",0,0,0,0,0,0,0,0,0
"ENSG00000165312.6",66,360,246,301,387,271,315,299,328
"ENSG00000120549.17",2101,5958,4983,6347,7426,4730,5039,4017,7548
"ENSG00000223928.1",0,2,0,3,4,0,1,0,0
"ENSG00000277563.1",0,11,3,9,15,0,6,6,9
"ENSG00000207930.1",0,7,3,4,4,0,5,3,16
"ENSG00000279029.1",0,0,0,0,0,0,0,1,0
"ENSG00000107863.17",779,2817,3163,1668,3487,4230,2184,2059,2137
"ENSG00000199535.1",0,0,0,0,0,0,0,0,0
"ENSG00000285750.1",0,0,0,0,0,0,0,0,0
"ENSG00000099256.18",88,244,34,72,74,36,134,26,69
"ENSG00000228667.1",0,0,0,0,0,0,0,0,0
"ENSG00000240294.2",0,0,0,0,0,0,0,0,0
"ENSG00000285859.1",0,0,0,1,1,11,0,0,2
"ENSG00000273107.1",0,3,0,4,0,0,2,0,1
"ENSG00000151023.16",0,17,1,1,9,11,1,8,1
"ENSG00000185875.12",51,270,209,247,509,579,159,459,304
"ENSG00000231422.2",0,0,0,0,0,0,0,0,0
"ENSG00000233642.1",0,2,6,4,11,0,0,0,0
"ENSG00000151025.10",2,1111,921,195,1066,450,410,28,258
"ENSG00000274242.1",0,0,0,0,0,0,0,0,0
"ENSG00000222543.1",0,0,0,0,0,0,0,0,0
"ENSG00000227465.1",0,0,0,0,0,0,0,0,0
"ENSG00000280809.3",0,3,0,0,0,0,0,0,1
"ENSG00000271563.1",0,0,0,0,0,0,0,0,0
"ENSG00000223019.1",0,0,0,0,0,0,0,0,0
"ENSG00000251711.1",0,0,0,0,0,0,0,0,0
"ENSG00000226304.1",0,0,0,0,0,0,0,0,0
"ENSG00000095777.15",0,26,1,21,10,0,32,1,62
"ENSG00000136750.12",0,0,0,21,0,0,0,0,36
"ENSG00000284951.1",0,0,0,0,0,0,0,0,2
"ENSG00000077420.15",58,146,56,65,40,162,69,57,76
"ENSG00000199733.1",0,0,0,0,0,0,0,0,0
"ENSG00000236894.3",0,0,0,0,0,0,0,0,0
"ENSG00000233261.3",0,2,1,1,0,8,0,0,7
"ENSG00000234296.1",0,0,0,0,0,0,0,0,0
"ENSG00000231976.8",0,0,0,0,0,0,0,0,0
"ENSG00000227932.2",0,0,0,0,0,0,0,0,0
"ENSG00000279212.1",0,0,0,0,0,0,0,4,0
"ENSG00000148459.15",41,97,118,95,145,118,92,133,99
"ENSG00000234788.1",0,6,5,2,11,9,2,8,18
"ENSG00000235843.1",9,2,2,1,4,0,1,2,4
"ENSG00000136754.17",356,1475,1872,1573,2268,1962,1123,1646,2050
"ENSG00000223027.1",0,0,0,0,0,0,0,0,0
"ENSG00000206605.1",0,5,17,2,6,0,2,7,8
"ENSG00000283709.1",1,29,20,57,30,28,82,15,18
"ENSG00000107890.16",242,1581,1182,1543,1968,2318,1573,1057,1562
"ENSG00000199855.1",0,6,2,2,16,0,3,4,7
"ENSG00000136758.18",1063,5875,5922,4762,7455,6191,3412,4669,5595
"ENSG00000120539.14",139,271,451,373,400,451,305,217,547
"ENSG00000252639.1",0,0,0,0,2,0,1,0,0
"ENSG00000107897.18",269,1756,2196,1549,2678,2219,1147,1214,1420
"ENSG00000251839.1",0,0,0,0,0,0,1,2,0
"ENSG00000262412.1",0,3,0,1,2,0,1,7,3
"ENSG00000230445.4",9,23,22,22,16,12,38,15,16
"ENSG00000238021.6",0,8,1,1,0,0,3,0,2
"ENSG00000278830.1",0,0,1,0,0,0,0,0,1
"ENSG00000200369.1",0,0,0,0,0,0,0,0,0
"ENSG00000215409.4",0,0,0,0,0,0,0,0,0
"ENSG00000207135.1",0,0,0,0,0,0,0,0,0
"ENSG00000260151.1",0,0,0,0,0,0,0,1,0
"ENSG00000213770.3",0,0,0,0,2,0,0,0,0
"ENSG00000237956.1",0,0,0,0,0,0,0,0,0
"ENSG00000182077.11",0,7,6,9,9,0,3,0,4
"ENSG00000099246.16",272,4651,6256,3591,7616,8049,2847,2917,4195
"ENSG00000285737.1",0,9,23,20,22,57,14,5,23
"ENSG00000150051.13",108,758,380,299,188,399,768,139,486
"ENSG00000230500.1",10,19,0,0,2,0,11,0,9
"ENSG00000251810.1",0,0,0,0,0,0,0,0,0
"ENSG00000169126.15",71,137,151,53,43,241,125,80,104
"ENSG00000226016.1",0,0,0,0,0,0,0,0,0
"ENSG00000233472.1",0,0,0,0,0,0,0,0,0
"ENSG00000226395.1",0,0,0,0,0,0,0,0,0
"ENSG00000150054.18",112,1888,2211,1605,2225,1684,1028,955,2411
"ENSG00000275036.1",0,3,1,0,0,0,0,0,0
"ENSG00000282996.1",0,3,4,3,2,4,0,0,0
"ENSG00000237746.1",0,0,0,0,0,0,2,0,0
"ENSG00000222666.2",0,0,0,0,0,0,0,0,0
"ENSG00000237128.1",0,2,2,3,4,0,2,2,2
"ENSG00000224439.2",0,0,1,0,0,0,0,0,0
"ENSG00000222705.1",0,0,0,0,0,0,0,1,0
"ENSG00000254635.5",170,600,1051,622,1008,1506,514,647,669
"ENSG00000095787.21",982,4504,5110,3925,6221,8156,3890,4609,4860
"ENSG00000252401.1",0,0,0,0,0,0,0,0,0
"ENSG00000231911.1",0,0,0,0,0,0,0,0,0
"ENSG00000207483.1",0,0,0,0,0,0,0,0,0
"ENSG00000095739.10",29,273,1663,189,1218,334,60,108,121
"ENSG00000232624.7",0,0,0,0,0,0,0,0,0
"ENSG00000236716.1",0,0,0,0,0,0,0,0,0
"ENSG00000201001.1",0,0,0,0,0,0,0,0,0
"ENSG00000235824.4",0,0,0,0,0,0,0,0,0
"ENSG00000271220.2",0,0,0,0,0,0,0,0,0
"ENSG00000199402.1",0,0,0,0,0,0,0,0,0
"ENSG00000229605.5",8,0,4,1,0,0,0,3,5
"ENSG00000120563.9",0,0,0,0,0,0,0,0,0
"ENSG00000224597.10",187,583,716,547,720,429,245,440,627
"ENSG00000274985.1",0,0,0,0,0,0,0,0,0
"ENSG00000197321.14",4497,10306,3368,4434,4315,3108,6257,3032,4401
"ENSG00000207612.1",24,5,3,6,10,0,23,0,3
"ENSG00000212411.1",0,0,0,0,0,0,0,0,0
"ENSG00000216035.1",7,12,2,8,5,0,5,5,6
"ENSG00000225976.5",0,0,0,0,0,0,0,0,0
"ENSG00000222092.1",0,0,0,0,0,0,0,0,0
"ENSG00000237936.1",0,0,0,0,0,0,0,0,0
"ENSG00000165757.8",513,1630,716,552,788,839,1230,309,406
"ENSG00000200887.1",0,0,0,0,0,0,0,0,0
"ENSG00000230125.1",0,0,0,0,0,0,0,0,0
"ENSG00000259994.1",5,20,32,21,54,59,31,29,34
"ENSG00000107951.14",169,870,1306,830,1166,1147,637,1102,865
"ENSG00000285824.1",0,0,0,0,0,0,0,0,0
"ENSG00000250833.1",0,0,0,0,0,0,0,0,0
"ENSG00000241621.1",0,0,0,0,0,0,0,0,0
"ENSG00000239625.3",0,0,0,0,0,0,0,0,0
"ENSG00000284277.1",0,0,0,0,0,0,0,0,0
"ENSG00000214434.2",0,0,0,0,0,0,0,0,0
"ENSG00000235679.1",0,0,0,0,0,0,0,0,0
"ENSG00000224473.1",0,0,1,0,0,0,3,0,0
"ENSG00000107968.9",132,142,178,186,134,189,155,144,220
"ENSG00000213778.2",0,0,0,0,0,0,0,0,0
"ENSG00000228800.1",0,0,0,0,0,0,0,0,0
"ENSG00000239744.3",0,0,0,0,0,0,0,0,0
"ENSG00000230298.1",0,0,0,0,0,0,0,0,0
"ENSG00000285630.1",0,0,0,0,1,0,0,0,0
"ENSG00000151033.9",0,0,0,0,0,0,0,0,0
"ENSG00000234814.8",50,71,41,58,60,27,5,42,6
"ENSG00000230720.1",0,0,0,0,0,0,0,0,0
"ENSG00000183621.15",161,211,173,167,170,190,139,223,136
"ENSG00000272914.1",0,0,2,1,11,0,1,3,1
"ENSG00000237135.1",0,8,8,21,17,32,32,7,14
"ENSG00000272381.1",0,0,0,0,0,0,0,0,0
"ENSG00000237036.4",10,99,75,64,88,62,58,112,53
"ENSG00000252479.1",0,0,0,0,0,0,0,0,0
"ENSG00000148516.21",335,1220,702,516,614,1351,1407,580,847
"ENSG00000230397.1",0,1,0,0,1,3,2,3,1
"ENSG00000285781.1",0,0,0,0,0,0,0,0,0
"ENSG00000223834.3",0,1,0,2,1,0,0,0,0
"ENSG00000231855.1",0,0,0,0,0,0,0,0,0
"ENSG00000237797.1",25,2,1,0,0,0,0,2,4
"ENSG00000222412.1",0,0,0,0,0,0,0,0,0
"ENSG00000165322.17",444,3435,2788,3327,5247,3344,2370,3416,3720
"ENSG00000231148.1",0,0,0,0,0,0,0,0,0
"ENSG00000230240.1",0,0,0,1,0,0,1,0,1
"ENSG00000239731.3",0,0,0,0,0,0,0,0,0
"ENSG00000170759.10",2068,11238,12848,8615,16471,16835,7941,9495,10733
"ENSG00000206660.1",0,0,2,0,0,0,0,0,0
"ENSG00000234335.1",3,5,6,1,6,14,7,5,4
"ENSG00000235113.1",0,0,0,0,0,0,0,0,0
"ENSG00000234811.1",0,0,0,0,0,0,0,0,0
"ENSG00000252482.1",0,0,0,0,0,0,0,0,0
"ENSG00000217094.2",14,13,17,15,9,7,5,16,5
"ENSG00000233190.1",0,0,0,0,0,0,0,0,0
"ENSG00000227253.3",0,1,0,0,0,0,0,0,0
"ENSG00000120616.15",580,2222,1648,2258,2651,2071,1631,1323,2228
"ENSG00000226842.1",0,0,0,0,0,0,0,0,0
"ENSG00000233825.1",0,0,0,3,0,0,0,1,0
"ENSG00000229327.1",0,0,0,0,0,0,0,0,0
"ENSG00000200484.1",0,0,0,0,0,0,0,0,0
"ENSG00000216937.13",168,649,613,461,1060,788,639,443,955
"ENSG00000231245.2",0,30,1,0,17,2,34,0,1
"ENSG00000273038.2",8,15,8,18,20,0,20,17,19
"ENSG00000150093.18",3221,12941,11078,6526,12771,15833,7527,8703,9333
"ENSG00000228816.1",0,0,0,0,0,0,0,0,0
"ENSG00000229656.6",0,1,1,6,2,0,7,6,0
"ENSG00000234163.1",0,0,0,0,0,0,0,0,0
"ENSG00000265319.2",0,0,0,0,0,0,0,0,0
"ENSG00000229878.1",0,0,0,0,0,0,0,0,0
"ENSG00000235962.5",2,0,1,0,0,0,1,5,0
"ENSG00000233387.1",0,0,0,0,0,0,0,0,0
"ENSG00000099250.17",668,2638,1488,1690,1371,1466,1650,2278,1711
"ENSG00000238258.1",0,0,0,0,0,0,0,1,0
"ENSG00000244356.3",0,2,1,5,4,0,10,2,3
"ENSG00000273012.1",0,0,1,0,0,0,4,0,0
"ENSG00000226412.1",0,0,0,0,0,0,0,0,0
"ENSG00000203565.2",0,0,0,0,0,0,0,0,0
"ENSG00000261683.1",0,0,0,0,0,0,0,0,0
"ENSG00000226407.1",0,0,0,0,0,0,0,0,0
"ENSG00000223470.3",0,0,0,0,0,0,0,0,0
"ENSG00000148498.15",819,2458,2586,2647,2881,2851,1730,2020,2997
"ENSG00000199200.2",0,3,5,3,0,0,4,2,3
"ENSG00000234167.1",18,8,3,6,5,0,5,0,4
"ENSG00000229235.1",8,16,7,40,35,13,18,6,19
"ENSG00000215184.2",6,25,40,38,35,73,13,16,25
"ENSG00000226386.1",0,0,0,4,0,13,3,6,0
"ENSG00000232525.1",1,0,0,0,0,0,0,0,0
"ENSG00000223047.1",0,0,0,0,0,0,0,0,0
"ENSG00000222909.1",0,0,0,0,0,0,0,0,0
"ENSG00000213724.4",0,0,0,0,0,0,0,0,0
"ENSG00000283000.1",38,76,89,110,102,45,52,5,138
"ENSG00000108094.14",218,1532,1459,1306,1858,1899,1089,1080,1668
"ENSG00000266228.1",0,4,5,4,9,4,3,1,9
"ENSG00000230534.6",0,0,0,0,3,11,1,0,0
"ENSG00000095794.19",168,465,1009,777,447,429,805,277,491
"ENSG00000253054.1",0,0,1,7,0,0,1,0,4
"ENSG00000233343.1",3,11,2,27,24,23,19,2,8
"ENSG00000269952.1",0,12,10,21,4,10,14,9,8
"ENSG00000233200.1",0,0,1,0,0,0,2,0,0
"ENSG00000253070.1",0,0,0,0,0,0,0,0,0
"ENSG00000108100.17",332,1463,2447,1115,2089,1812,998,1799,1336
"ENSG00000200097.1",0,0,0,0,0,0,0,0,0
"ENSG00000271335.5",22,48,17,46,110,25,39,33,28
"ENSG00000273312.2",0,0,0,5,4,9,0,0,0
"ENSG00000177291.3",0,0,0,0,0,0,0,4,0
"ENSG00000177283.7",4,80,132,45,162,35,30,390,47
"ENSG00000284265.1",0,0,0,0,0,0,0,0,0
"ENSG00000226646.1",0,0,0,0,0,0,0,0,0
"ENSG00000280719.1",0,0,1,0,0,0,0,10,2
"ENSG00000227313.1",14,0,0,0,0,0,0,0,0
"ENSG00000227475.1",0,0,0,0,0,0,0,0,0
"ENSG00000236626.1",0,0,0,0,0,0,0,0,0
"ENSG00000228694.1",0,0,0,0,0,0,0,0,0
"ENSG00000237002.6",0,0,0,0,1,0,0,0,0
"ENSG00000274458.1",0,0,0,0,0,0,0,0,0
"ENSG00000229644.6",37,26,393,67,62,32,8,26,55
"ENSG00000207271.1",0,0,0,0,0,0,0,0,0
"ENSG00000238176.1",0,0,0,0,0,0,0,0,0
"ENSG00000233533.1",0,0,0,0,0,0,0,0,0
"ENSG00000225355.1",6,1,1,0,0,0,0,1,0
"ENSG00000148513.17",0,13,33,10,9,50487,4,14,4
"ENSG00000206796.1",0,0,0,0,0,0,0,0,0
"ENSG00000234918.1",0,0,4,2,1,1679,0,1,0
"ENSG00000235687.9",0,0,6,0,1,2324,0,3,0
"ENSG00000244402.3",0,0,0,0,0,157,1,0,0
"ENSG00000252621.1",0,0,0,0,0,0,0,0,0
"ENSG00000237970.1",0,0,0,4,2,294,0,2,0
"ENSG00000236313.1",0,2,1,0,1,1517,0,0,0
"ENSG00000224920.1",0,0,0,0,0,42,0,1,0
"ENSG00000225276.1",0,0,0,0,0,0,0,0,0
"ENSG00000256892.2",0,0,1,0,0,0,0,0,0
"ENSG00000226578.1",20,31,52,20,40,31,32,14,38
"ENSG00000198105.13",316,1234,730,1153,1951,1533,1169,771,1264
"ENSG00000260137.1",0,0,0,0,0,0,0,0,0
"ENSG00000225192.1",13,127,72,97,197,170,126,67,123
"ENSG00000228828.1",0,138,61,78,152,174,103,61,90
"ENSG00000236514.1",5,5,5,8,4,4,4,5,11
"ENSG00000151963.4",0,0,0,2,0,0,0,0,0
"ENSG00000235197.1",0,0,0,0,0,0,0,0,0
"ENSG00000175395.15",191,1154,635,681,1324,1077,749,456,750
"ENSG00000226447.1",0,0,0,0,0,0,0,0,0
"ENSG00000206840.1",0,0,0,0,0,0,0,0,0
"ENSG00000189180.15",967,4883,4691,4444,7166,7982,3487,3661,4716
"ENSG00000252132.1",0,0,0,0,0,0,0,0,0
"ENSG00000275675.1",0,0,0,0,0,0,0,0,0
"ENSG00000226086.5",0,0,1,0,1,0,1,1,0
"ENSG00000235964.1",0,0,0,0,0,0,0,0,0
"ENSG00000075407.18",356,1768,2342,1741,2727,4366,1636,1389,1972
"ENSG00000283930.1",6,79,45,61,94,26,21,44,52
"ENSG00000272983.1",8,81,90,66,110,181,76,91,87
"ENSG00000225965.1",0,0,0,0,0,0,0,0,0
"ENSG00000224761.4",0,0,0,0,0,0,1,0,0
"ENSG00000226113.1",0,0,0,0,0,0,0,0,0
"ENSG00000234941.1",0,0,0,0,0,0,0,0,0
"ENSG00000099251.14",35,171,136,108,223,15,39,76,97
"ENSG00000120555.13",0,19,5,10,9,9,11,9,28
"ENSG00000276805.2",45,63,76,65,72,21,75,60,70
"ENSG00000222314.1",0,0,2,0,1,0,0,2,3
"ENSG00000228882.1",0,0,0,0,0,0,0,0,0
"ENSG00000203496.9",0,0,0,0,0,0,0,0,0
"ENSG00000215151.4",0,0,0,0,0,0,0,0,0
"ENSG00000277133.1",0,0,0,0,0,0,0,0,0
"ENSG00000225638.1",0,0,0,0,0,0,0,0,0
"ENSG00000233867.2",0,0,0,0,0,0,0,0,0
"ENSG00000227264.3",0,0,0,0,0,0,0,0,0
"ENSG00000234541.2",0,0,0,0,0,0,0,0,0
"ENSG00000227679.1",0,0,0,0,0,0,0,0,0
"ENSG00000233832.1",0,0,0,0,0,0,0,0,0
"ENSG00000229485.1",0,0,0,0,0,0,0,0,0
"ENSG00000237592.2",0,0,0,0,0,0,0,0,0
"ENSG00000271650.1",0,0,0,0,0,0,0,0,0
"ENSG00000274167.4",0,0,0,0,0,0,0,0,0
"ENSG00000228755.1",0,0,0,0,0,0,0,0,0
"ENSG00000215146.5",50,286,116,259,338,135,214,21,165
"ENSG00000182632.15",0,0,0,0,0,0,1,0,2
"ENSG00000279239.1",0,0,0,0,0,0,0,0,0
"ENSG00000185904.11",0,12,0,2,1,0,2,0,4
"ENSG00000234420.7",300,958,731,1076,1356,1463,888,651,1090
"ENSG00000270762.1",0,0,0,0,0,0,0,0,0
"ENSG00000233837.1",0,0,0,0,0,0,2,1,0
"ENSG00000196693.14",466,2745,2941,2703,4763,6328,1869,1647,2625
"ENSG00000277479.1",0,0,0,0,0,0,0,0,0
"ENSG00000272319.2",0,0,0,0,0,0,0,0,0
"ENSG00000272387.2",0,0,0,0,0,0,0,0,0
"ENSG00000251783.1",0,0,0,0,0,0,0,0,0
"ENSG00000285884.1",5,2,19,6,11,4,5,0,2
"ENSG00000232109.1",0,0,0,0,0,0,0,0,0
"ENSG00000233515.1",0,5,43,1,22,0,6,0,1
"ENSG00000231009.1",0,0,0,0,0,0,0,0,0
"ENSG00000234864.1",0,0,0,0,0,0,0,0,0
"ENSG00000230425.1",0,0,0,0,0,0,0,0,0
"ENSG00000270552.1",0,0,0,0,0,0,0,0,0
"ENSG00000259869.2",0,21,44,11,124,50,12,3,5
"ENSG00000165733.7",499,1671,2196,1546,2917,3263,1227,1043,1908
"ENSG00000252416.1",0,0,0,0,0,0,0,0,0
"ENSG00000234944.1",0,0,5,0,23,28,1,0,0
"ENSG00000229630.1",0,0,1,0,0,0,0,0,0
"ENSG00000263795.1",0,0,0,0,0,0,0,0,0
"ENSG00000165731.18",63,34,1195,108,1083,1915,163,19,64
"ENSG00000273008.1",0,10,4,1,7,2,2,10,1
"ENSG00000169826.7",172,644,1099,510,781,1868,562,296,602
"ENSG00000198915.11",51,48,50,27,42,21,52,6,10
"ENSG00000224265.1",0,0,0,0,0,0,0,0,0
"ENSG00000285712.1",0,0,0,0,0,0,0,0,0
"ENSG00000221468.1",0,0,0,0,0,0,0,0,0
"ENSG00000150201.14",0,0,0,2,2,0,3,0,2
"ENSG00000169813.16",1034,4009,9300,4028,6812,6327,2970,3784,4702
"ENSG00000221400.2",0,0,0,0,1,0,0,0,1
"ENSG00000230555.2",6,16,17,20,9,7,15,7,14
"ENSG00000243660.9",40,195,229,168,207,314,204,68,165
"ENSG00000252532.1",0,0,0,0,0,0,0,0,1
"ENSG00000236114.1",3,27,4,9,22,46,32,4,12
"ENSG00000196793.13",40,190,315,205,413,415,143,277,266
"ENSG00000232004.1",1,1,10,1,11,3,2,1,4
"ENSG00000198298.12",9,150,225,153,343,384,115,152,169
"ENSG00000223910.1",0,0,2,0,0,0,1,2,0
"ENSG00000237389.1",0,1,0,0,0,0,0,0,0
"ENSG00000238263.1",0,3,0,2,3,0,1,0,4
"ENSG00000169740.13",189,674,1147,776,1220,960,551,506,847
"ENSG00000226245.1",0,0,1,0,1,1,0,0,0
"ENSG00000230565.1",0,2,1,3,2,5,2,1,6
"ENSG00000228426.1",0,0,0,0,0,0,0,0,0
"ENSG00000271173.1",0,0,0,0,0,0,0,0,0
"ENSG00000224162.1",0,0,0,0,0,0,0,0,0
"ENSG00000223746.1",0,0,0,0,0,0,0,0,0
"ENSG00000234973.5",0,0,0,0,0,0,0,0,0
"ENSG00000226790.3",0,1,1,0,3,0,1,0,0
"ENSG00000226808.2",0,0,0,0,0,0,0,2,1
"ENSG00000236769.2",0,0,0,0,0,0,0,0,0
"ENSG00000227029.1",0,0,0,0,0,0,0,0,0
"ENSG00000233395.1",0,0,0,0,0,0,1,0,1
"ENSG00000237590.1",0,0,0,0,0,0,0,0,0
"ENSG00000229116.2",0,3,0,0,0,0,0,0,0
"ENSG00000277288.4",0,0,0,0,0,0,0,0,0
"ENSG00000107562.16",163,562,356,391,325,738,936,112,257
"ENSG00000214089.3",0,1,0,0,0,0,0,0,1
"ENSG00000270767.1",0,1,0,0,0,0,0,0,0
"ENSG00000234580.1",0,0,3,2,3,0,0,0,0
"ENSG00000227395.1",0,0,0,0,0,0,0,0,0
"ENSG00000224812.2",0,14,0,7,11,1,11,0,1
"ENSG00000234504.2",9,2,0,7,5,0,0,2,0
"ENSG00000187783.11",0,0,0,0,0,0,0,0,0
"ENSG00000223462.2",0,0,0,0,0,0,0,0,0
"ENSG00000273363.1",0,2,3,5,1,6,2,4,6
"ENSG00000107551.20",179,152,132,159,84,57,173,136,129
"ENSG00000165507.8",343,140,1128,112,163,104,318,413,415
"ENSG00000165511.6",11,46,36,20,37,11,18,16,38
"ENSG00000165512.4",131,1180,1575,1041,1535,1111,747,797,1003
"ENSG00000226937.9",0,0,0,0,0,0,0,0,0
"ENSG00000277757.4",0,0,0,0,0,0,0,0,0
"ENSG00000270258.1",0,0,1,0,4,0,3,0,0
"ENSG00000228462.1",0,0,0,0,1,0,0,1,0
"ENSG00000232554.8",0,0,0,0,0,0,0,2,0
"ENSG00000235690.2",0,0,0,0,0,0,0,0,0
"ENSG00000243349.2",0,0,0,0,0,0,0,0,0
"ENSG00000236442.1",0,0,0,0,0,0,0,0,0
"ENSG00000230501.1",0,0,0,0,0,1,0,0,0
"ENSG00000263476.1",0,0,0,0,0,0,0,0,0
"ENSG00000227683.1",0,0,0,0,0,0,0,1,0
"ENSG00000275312.1",0,0,0,0,0,0,0,0,0
"ENSG00000278531.1",0,0,0,1,0,0,0,2,0
"ENSG00000207071.1",0,0,0,0,0,0,0,0,0
"ENSG00000234993.1",0,0,0,0,2,0,0,1,0
"ENSG00000224402.2",0,1,0,0,0,0,2,0,0
"ENSG00000256574.7",1,7,6,12,16,13,3,11,15
"ENSG00000012779.10",184,219,349,556,383,155,321,97,511
"ENSG00000231964.1",0,3,0,3,6,0,0,4,4
"ENSG00000165406.15",406,1595,1858,1163,1573,1234,942,632,1167
"ENSG00000172671.19",154,556,1014,614,917,810,440,312,594
"ENSG00000230869.1",0,8,17,2,65,17,7,0,0
"ENSG00000237840.6",5,21,10,27,20,2,12,9,4
"ENSG00000228702.1",0,2,2,4,0,0,1,3,0
"ENSG00000172661.18",450,1041,1930,1146,1817,2245,1278,663,1509
"ENSG00000270434.1",0,0,0,0,0,0,0,0,0
"ENSG00000231122.5",0,0,0,0,0,0,0,0,0
"ENSG00000188234.13",34,145,100,132,110,99,63,69,120
