"","M_W_RNA6","N_W_RNA7","M_W_RNA12","N_W_RNA13","M_W_RNA14","N_W_RNA15","M_W_RNA16","M_W_RNA17","N_W_RNA18"
"ENSG00000150269.1",0,0,0,0,0,0,0,0,0
"ENSG00000174937.4",0,0,0,0,0,0,0,0,0
"ENSG00000254752.2",0,0,0,0,0,0,0,0,0
"ENSG00000181371.4",0,0,0,0,0,0,0,0,0
"ENSG00000254411.1",0,0,0,0,0,0,0,0,0
"ENSG00000254490.1",0,0,0,0,0,0,0,0,0
"ENSG00000254660.1",0,0,0,0,0,0,0,0,0
"ENSG00000254603.1",0,0,0,0,0,0,0,2,0
"ENSG00000185701.7",0,0,0,0,0,0,0,0,0
"ENSG00000255223.4",0,0,0,0,0,1,0,0,0
"ENSG00000254834.4",0,0,0,0,0,0,0,0,0
"ENSG00000166693.7",0,0,0,0,0,0,0,0,0
"ENSG00000255012.2",0,0,0,0,0,0,0,0,0
"ENSG00000255172.2",0,0,0,0,0,0,0,0,0
"ENSG00000197866.3",0,0,0,0,0,0,0,0,0
"ENSG00000254795.1",0,0,0,0,0,0,0,0,0
"ENSG00000172464.3",0,0,0,0,0,0,0,0,0
"ENSG00000172459.4",0,0,0,0,0,0,0,0,0
"ENSG00000232511.4",0,0,0,0,0,0,0,0,0
"ENSG00000238041.3",0,0,0,0,0,1,0,0,0
"ENSG00000174914.2",0,0,0,0,0,0,0,0,0
"ENSG00000254953.1",0,0,0,0,0,0,0,0,0
"ENSG00000181325.7",0,0,0,0,0,0,0,0,0
"ENSG00000172457.6",0,0,0,0,0,0,0,0,0
"ENSG00000274770.1",0,0,0,0,0,0,0,0,0
"ENSG00000254825.1",0,0,0,0,0,0,0,0,0
"ENSG00000181296.3",0,1,0,0,0,0,0,0,0
"ENSG00000255485.1",0,0,0,0,0,0,0,0,1
"ENSG00000205025.8",0,0,0,2,2,0,0,0,0
"ENSG00000241356.2",0,1,0,1,0,0,0,0,0
"ENSG00000255433.5",0,0,0,0,0,0,0,0,0
"ENSG00000274150.1",0,3,0,0,0,0,0,0,0
"ENSG00000181282.4",0,0,0,0,0,0,0,0,0
"ENSG00000181273.2",0,0,0,0,0,0,0,0,0
"ENSG00000255083.2",0,0,0,0,0,0,0,0,0
"ENSG00000273228.1",0,0,0,0,0,0,0,0,0
"ENSG00000283307.1",0,0,0,0,0,0,0,0,0
"ENSG00000272676.1",0,0,0,0,0,0,0,0,0
"ENSG00000273255.1",0,0,0,0,0,0,0,0,0
"ENSG00000183908.5",1,6,2,1,7,14,0,1,19
"ENSG00000134817.10",6,2,0,12,12,3,10,15,4
"ENSG00000149115.13",7352,5160,2363,6315,4363,6477,1707,3534,5496
"ENSG00000254662.1",6,3,9,1,2,3,0,1,1
"ENSG00000149136.8",3370,3493,3107,1953,1617,2782,3254,2540,2384
"ENSG00000109991.8",4,0,0,0,0,2,0,1,0
"ENSG00000156575.2",0,0,0,0,0,0,0,0,0
"ENSG00000186652.9",0,0,0,0,0,0,0,0,0
"ENSG00000254979.5",0,0,0,1,0,0,0,2,0
"ENSG00000134802.17",50,93,10,113,65,59,27,57,104
"ENSG00000252070.1",0,0,0,0,0,0,0,0,0
"ENSG00000222998.1",0,0,0,0,0,0,0,0,0
"ENSG00000186907.7",37,31,5,20,8,22,8,4,14
"ENSG00000255301.1",1,0,0,0,0,0,2,0,0
"ENSG00000149150.8",3014,1162,870,701,200,797,1528,241,376
"ENSG00000265566.2",1,4,0,0,0,0,0,1,1
"ENSG00000134809.8",427,460,200,130,145,203,188,228,176
"ENSG00000214872.8",1,0,0,0,0,2,0,0,0
"ENSG00000156587.15",562,1010,366,421,539,1432,561,1204,1564
"ENSG00000240371.1",3,2,1,0,2,6,4,2,1
"ENSG00000149131.15",782,1485,868,722,1217,879,556,1010,1223
"ENSG00000254602.1",4,11,0,27,23,23,16,14,11
"ENSG00000208009.1",0,0,0,2,0,0,0,0,2
"ENSG00000166793.10",2,10,0,3,3,11,3,6,3
"ENSG00000172409.5",300,336,163,155,140,231,259,274,233
"ENSG00000156599.10",4747,5009,2581,2753,2074,4601,2293,3485,3925
"ENSG00000156603.17",294,324,192,143,176,301,233,197,235
"ENSG00000213593.9",2153,2554,1559,1011,805,1986,1394,1584,1558
"ENSG00000254462.1",0,0,0,0,0,0,0,0,0
"ENSG00000213592.4",0,1,0,0,0,0,1,1,0
"ENSG00000211450.9",274,180,53,251,206,268,141,130,166
"ENSG00000254732.1",21,20,0,23,22,46,16,35,30
"ENSG00000233436.7",0,0,0,0,0,0,0,0,0
"ENSG00000198561.13",13734,16257,10244,11011,8206,16069,12312,15789,15606
"ENSG00000255303.2",0,0,2,1,0,0,0,0,0
"ENSG00000255266.1",0,0,0,0,0,0,0,0,0
"ENSG00000180714.3",0,0,0,0,0,0,0,0,0
"ENSG00000254749.1",0,0,0,0,0,0,0,0,0
"ENSG00000254601.1",0,0,0,0,0,0,0,0,0
"ENSG00000186509.4",0,0,0,0,0,0,0,0,0
"ENSG00000200817.1",0,0,0,0,0,0,0,0,0
"ENSG00000279051.4",0,0,0,0,0,0,0,0,0
"ENSG00000236541.1",0,0,0,0,0,0,0,0,0
"ENSG00000255146.1",0,0,0,0,0,0,0,0,0
"ENSG00000254853.1",0,0,0,0,0,0,0,0,0
"ENSG00000255131.2",0,0,0,0,0,0,0,0,0
"ENSG00000272685.1",0,0,0,0,0,0,0,0,0
"ENSG00000172377.2",0,0,0,0,0,0,0,0,0
"ENSG00000186508.4",0,0,0,0,0,0,0,0,0
"ENSG00000272569.1",0,0,0,0,0,0,0,0,0
"ENSG00000186513.3",0,0,0,0,0,0,0,0,0
"ENSG00000197887.4",0,0,0,0,0,0,0,0,0
"ENSG00000280204.3",0,0,0,0,0,0,0,0,0
"ENSG00000180475.4",0,0,0,0,0,0,0,0,1
"ENSG00000254589.1",0,0,0,0,0,0,0,0,1
"ENSG00000172772.3",0,0,0,0,0,0,0,0,0
"ENSG00000272900.1",0,0,0,0,0,0,0,0,0
"ENSG00000255218.1",0,0,0,0,0,0,0,0,0
"ENSG00000255431.1",0,0,0,0,0,0,0,0,0
"ENSG00000255096.2",0,0,0,0,0,0,0,0,0
"ENSG00000255333.1",0,0,0,0,0,0,0,0,0
"ENSG00000197786.3",0,0,0,0,0,0,0,0,0
"ENSG00000233499.1",0,0,0,0,0,0,0,0,0
"ENSG00000273408.1",0,0,0,0,0,0,0,0,0
"ENSG00000172769.3",0,0,0,0,0,0,0,0,0
"ENSG00000172365.3",17,0,104,0,0,1,0,1,0
"ENSG00000172362.3",6,0,9,0,0,0,0,0,0
"ENSG00000285895.1",0,0,3,1,1,0,3,1,0
"ENSG00000255299.5",0,0,0,0,1,0,6,2,4
"ENSG00000198283.2",0,0,0,0,0,0,0,0,1
"ENSG00000110031.12",143,258,122,164,189,196,1609,289,184
"ENSG00000186660.14",2336,2803,2178,1203,1213,2031,1914,1925,1938
"ENSG00000255073.8",1,0,0,0,0,0,0,0,0
"ENSG00000269570.2",9,9,0,3,3,12,1,0,5
"ENSG00000242689.2",12,10,0,2,2,2,5,8,13
"ENSG00000280010.1",4,1,1,1,5,2,0,4,2
"ENSG00000149124.10",0,0,0,0,0,0,0,0,0
"ENSG00000197254.4",0,0,0,0,0,0,0,0,0
"ENSG00000254926.1",0,0,0,0,0,0,0,0,0
"ENSG00000255265.1",0,0,0,0,0,0,0,0,0
"ENSG00000156689.6",95,153,96,31,28,23,23,50,90
"ENSG00000254717.2",0,0,0,0,0,1,1,0,1
"ENSG00000166840.13",4119,2424,4787,483,193,633,1582,1128,441
"ENSG00000255523.1",2,3,7,0,0,0,1,4,1
"ENSG00000255240.5",1070,690,849,347,105,265,616,459,200
"ENSG00000254877.1",155,123,172,80,26,45,79,79,32
"ENSG00000255189.1",0,0,0,0,0,0,0,0,1
"ENSG00000254786.1",260,133,308,111,54,64,177,141,72
"ENSG00000254399.2",1,3,0,0,0,0,0,2,0
"ENSG00000255151.2",2,0,0,0,0,0,0,0,0
"ENSG00000189057.10",466,258,1041,63,53,73,237,109,119
"ENSG00000245571.6",1008,511,863,357,237,492,275,362,180
"ENSG00000255381.1",5,2,4,0,0,5,0,4,1
"ENSG00000166801.15",8162,6041,7152,4444,3026,6253,2131,5304,3952
"ENSG00000110042.7",139,328,61,254,137,178,118,460,329
"ENSG00000197629.5",245,415,334,261,452,319,281,253,606
"ENSG00000263999.2",0,0,0,0,0,0,0,0,0
"ENSG00000225802.3",0,0,0,0,0,0,0,0,0
"ENSG00000254799.1",0,0,0,0,0,0,0,4,2
"ENSG00000214797.3",0,2,0,3,1,2,1,10,16
"ENSG00000254704.3",0,0,0,0,0,0,0,0,0
"ENSG00000263944.2",0,0,0,0,1,0,0,0,0
"ENSG00000235678.3",0,0,0,0,0,0,0,0,0
"ENSG00000255386.1",0,0,0,0,0,0,0,0,0
"ENSG00000176495.3",0,0,8,1,1,0,0,0,0
"ENSG00000198261.3",0,0,0,0,0,0,0,0,0
"ENSG00000172324.5",0,0,0,0,0,0,1,0,0
"ENSG00000172320.3",0,0,0,0,0,0,0,0,0
"ENSG00000166884.2",0,0,0,0,0,0,0,0,0
"ENSG00000254466.2",1,0,0,0,0,0,0,0,0
"ENSG00000204989.3",0,0,0,0,0,0,0,0,0
"ENSG00000176200.1",0,0,0,0,0,0,0,0,0
"ENSG00000172742.5",0,0,0,0,0,0,0,0,0
"ENSG00000254770.1",0,0,0,0,0,0,0,0,0
"ENSG00000255008.2",0,0,0,0,0,0,0,0,0
"ENSG00000110048.11",4065,5006,3863,2685,2139,4427,2672,4596,3332
"ENSG00000264559.1",2,2,0,1,2,4,1,4,6
"ENSG00000255139.1",15,22,35,11,9,15,18,15,11
"ENSG00000166889.13",579,661,538,630,448,766,639,730,773
"ENSG00000255355.1",0,0,0,0,2,1,0,2,1
"ENSG00000223223.1",0,0,0,0,0,0,0,0,0
"ENSG00000172289.3",0,0,0,0,0,0,0,0,0
"ENSG00000166900.16",1517,1318,1215,832,520,1090,1261,1212,1291
"ENSG00000254403.1",0,0,0,0,0,0,0,0,0
"ENSG00000254743.1",0,0,0,0,0,0,1,0,0
"ENSG00000255538.1",0,0,0,0,0,0,0,0,0
"ENSG00000254477.2",0,1,0,3,1,3,5,3,5
"ENSG00000234964.4",8,2,15,2,0,1,0,0,0
"ENSG00000166902.4",611,721,485,348,269,620,651,434,386
"ENSG00000134812.7",0,0,0,0,0,0,1,0,0
"ENSG00000134827.7",0,139,20,2,4,3,216,63,60
"ENSG00000285231.1",0,3,0,0,0,0,0,0,0
"ENSG00000270929.1",0,0,0,0,0,0,0,0,0
"ENSG00000284873.1",0,0,0,0,0,0,0,0,0
"ENSG00000214788.3",0,0,0,0,0,0,0,0,0
"ENSG00000285010.1",0,0,0,0,0,0,0,0,0
"ENSG00000255393.2",0,0,0,0,0,0,0,0,0
"ENSG00000149507.6",0,0,0,1,0,0,0,0,0
"ENSG00000149516.13",0,0,0,0,0,0,0,0,0
"ENSG00000255331.1",0,0,0,0,0,0,0,0,0
"ENSG00000149534.8",27,92,64,102,70,26,12,43,73
"ENSG00000254952.1",0,1,0,0,0,1,0,0,0
"ENSG00000110077.14",268,592,648,237,376,242,248,267,531
"ENSG00000110079.17",81,108,100,30,72,51,100,73,95
"ENSG00000214787.9",6,52,82,33,48,23,11,27,45
"ENSG00000275344.1",0,9,0,1,6,0,1,3,5
"ENSG00000166926.8",0,0,0,1,0,0,0,5,0
"ENSG00000166927.12",285,494,374,140,418,276,238,283,349
"ENSG00000166928.10",10,13,4,9,40,13,15,18,23
"ENSG00000166930.6",0,0,0,0,0,0,0,0,0
"ENSG00000156738.17",5,72,10,28,331,9,33,3,17
"ENSG00000071203.9",0,0,0,0,0,0,0,2,0
"ENSG00000204979.7",0,0,0,0,0,0,0,0,0
"ENSG00000283601.1",0,0,0,0,0,0,0,0,0
"ENSG00000181995.12",0,0,0,0,0,0,0,0,0
"ENSG00000166959.7",349,190,18,48,7,84,54,27,62
"ENSG00000214782.7",11,2,0,2,0,1,0,0,0
"ENSG00000166961.14",0,0,0,0,0,0,0,1,0
"ENSG00000172689.1",0,0,0,0,0,0,0,0,0
"ENSG00000255845.1",4,0,0,0,0,1,0,1,5
"ENSG00000255959.1",14,20,0,11,8,5,3,28,18
"ENSG00000256813.1",3,0,0,0,0,0,0,0,0
"ENSG00000110104.12",1237,795,745,624,708,614,226,937,952
"ENSG00000183134.4",0,6,6,3,1,0,0,0,1
"ENSG00000149506.11",23,21,16,10,5,6,0,3,7
"ENSG00000110107.8",3618,3821,1358,2436,2241,3961,2232,3409,2932
"ENSG00000257052.1",43,6,24,2,3,13,16,4,13
"ENSG00000256944.1",0,0,0,0,0,0,0,0,0
"ENSG00000110108.9",1575,1427,561,1154,869,1747,782,1141,1113
"ENSG00000256196.1",0,0,0,0,0,0,0,0,0
"ENSG00000006118.14",459,325,51,185,105,131,397,121,306
"ENSG00000110446.10",58,51,16,46,54,45,58,44,79
"ENSG00000013725.14",12,25,23,18,18,37,13,33,33
"ENSG00000207153.1",0,0,0,0,0,0,0,0,0
"ENSG00000256733.1",0,0,0,0,0,0,0,0,0
"ENSG00000110448.10",4,20,1,30,15,27,11,8,18
"ENSG00000167987.10",1683,1022,367,921,630,1100,395,527,709
"ENSG00000279549.1",31,24,9,50,25,63,13,22,50
"ENSG00000229859.9",0,0,0,0,0,1,0,0,0
"ENSG00000229183.8",0,0,0,0,0,0,0,0,0
"ENSG00000256220.1",0,0,0,0,0,0,0,0,0
"ENSG00000256713.7",0,0,0,0,0,0,0,0,0
"ENSG00000167992.12",6,27,0,32,33,17,7,39,40
"ENSG00000167986.13",13254,12890,5842,5984,5061,9184,9615,10078,7705
"ENSG00000149476.15",883,848,137,684,429,820,703,548,537
"ENSG00000162144.9",1310,1120,177,500,370,672,2747,754,677
"ENSG00000279246.1",7,17,0,10,5,7,3,11,9
"ENSG00000149483.11",563,646,156,434,313,523,849,419,514
"ENSG00000187049.9",225,264,47,142,95,175,272,232,162
"ENSG00000149532.15",2426,2713,1215,1894,1500,2599,2584,2122,2529
"ENSG00000279632.1",9,4,0,19,11,12,8,13,16
"ENSG00000256591.5",30,22,26,34,20,37,32,32,52
"ENSG00000167985.6",214,247,101,152,155,214,138,197,214
"ENSG00000240823.3",0,0,1,7,1,1,2,4,5
"ENSG00000162148.10",15,28,0,35,26,26,11,31,26
"ENSG00000255931.1",0,0,0,1,0,0,0,0,0
"ENSG00000266006.1",0,0,0,0,0,0,0,0,0
"ENSG00000204950.3",3,7,0,4,5,5,1,2,9
"ENSG00000011347.9",9138,7726,5096,7923,6315,11261,3181,4614,6006
"ENSG00000279878.1",73,34,27,129,181,160,17,51,98
"ENSG00000256443.1",216,114,147,587,636,542,68,166,310
"ENSG00000250230.2",247,204,21,98,146,204,22,97,59
"ENSG00000243742.5",181,169,61,183,174,164,20,114,106
"ENSG00000255947.1",0,0,0,0,0,0,0,0,0
"ENSG00000134780.9",265,158,69,222,163,243,49,136,193
"ENSG00000124915.10",0,0,0,0,0,0,0,0,0
"ENSG00000124920.13",25,7,10,6,7,16,1,13,18
"ENSG00000134825.15",899,973,228,339,218,651,810,559,507
"ENSG00000284108.1",0,0,0,0,0,0,0,0,0
"ENSG00000168496.3",430,466,308,194,185,391,318,286,324
"ENSG00000134824.13",3310,5122,549,3585,3539,10409,186,3983,2369
"ENSG00000149485.18",1133,1191,437,519,1060,2920,505,1760,854
"ENSG00000284416.1",0,0,0,0,0,0,0,0,0
"ENSG00000221968.8",341,196,63,115,132,131,75,160,148
"ENSG00000277892.1",0,1,0,2,0,0,0,0,1
"ENSG00000167994.11",42,37,7,42,37,36,13,30,50
"ENSG00000200898.1",0,0,0,0,0,0,0,0,0
"ENSG00000167995.15",20,31,35,27,25,13,12,28,39
"ENSG00000167996.15",11516,15067,10527,12200,11945,17055,10172,16276,18071
"ENSG00000279491.1",9,8,0,22,12,14,2,7,14
"ENSG00000244176.1",0,0,0,0,0,0,0,0,0
"ENSG00000254424.1",0,0,0,0,0,0,0,0,0
"ENSG00000255553.1",0,0,0,0,0,1,0,0,0
"ENSG00000285656.1",0,0,0,1,0,0,0,0,0
"ENSG00000149503.12",320,259,143,284,212,295,227,201,219
"ENSG00000236607.3",0,0,0,0,0,0,0,0,0
"ENSG00000168515.3",0,0,0,0,0,0,0,0,0
"ENSG00000124939.5",21,51,0,17,40,47,3,132,23
"ENSG00000254404.1",0,0,0,0,0,0,0,0,0
"ENSG00000124935.3",180,35,0,15,11,24,0,129,17
"ENSG00000110484.6",1,1,0,0,0,0,0,0,0
"ENSG00000197745.2",0,0,0,0,0,0,0,0,0
"ENSG00000255213.1",0,0,0,0,0,0,0,0,0
"ENSG00000255118.1",48,6,12,2,3,6,0,2,25
"ENSG00000162174.12",2491,1219,903,838,586,791,377,1156,1792
"ENSG00000254454.2",58,27,30,37,34,28,8,53,173
"ENSG00000255126.1",0,0,0,3,1,4,0,9,0
"ENSG00000149021.6",7,173,112,159,115,74,25,824,89
"ENSG00000255446.1",0,0,0,0,0,1,0,0,1
"ENSG00000124942.13",135041,83505,67207,88442,52378,109935,82726,74625,74584
"ENSG00000250659.2",0,0,0,0,0,0,0,0,0
"ENSG00000257058.1",5,3,0,0,0,0,1,2,0
"ENSG00000254772.9",0,0,0,0,0,0,0,0,0
"ENSG00000255508.7",4,5,0,7,8,9,0,7,7
"ENSG00000276102.1",2,0,0,0,0,1,0,0,2
"ENSG00000149016.15",209,114,67,156,100,184,139,145,124
"ENSG00000149480.6",3070,3920,1067,1856,1534,2614,2558,2429,2815
"ENSG00000149499.11",500,521,108,634,508,531,341,511,617
"ENSG00000254964.1",0,0,0,0,0,1,0,0,0
"ENSG00000149489.8",67,92,13,33,27,50,37,59,41
"ENSG00000149541.9",678,585,54,452,227,467,315,302,346
"ENSG00000089597.17",11150,13798,3561,6764,4207,11122,9349,7734,8384
"ENSG00000185085.2",884,796,95,519,283,779,547,538,636
"ENSG00000255432.1",0,0,0,0,0,0,0,0,0
"ENSG00000278615.4",1,0,0,0,0,3,0,0,0
"ENSG00000162194.12",52,101,20,75,53,61,63,61,78
"ENSG00000214756.7",132,72,51,78,25,77,133,102,126
"ENSG00000206597.1",0,0,0,0,0,0,0,0,0
"ENSG00000204922.4",465,340,79,233,171,295,197,137,160
"ENSG00000162191.13",749,967,891,535,463,792,614,656,570
"ENSG00000177363.4",32,50,0,58,119,30,31,42,29
"ENSG00000168000.14",32,44,0,45,36,55,39,41,45
"ENSG00000234857.2",0,0,0,0,0,0,0,0,0
"ENSG00000162188.5",0,2,0,0,1,0,1,2,0
"ENSG00000214753.3",626,880,818,763,516,939,616,691,839
"ENSG00000162222.13",211,401,129,240,221,334,390,369,275
"ENSG00000185670.7",303,448,74,257,214,401,201,345,254
"ENSG00000168002.11",613,947,343,529,345,821,569,573,536
"ENSG00000267811.1",2,4,0,1,0,1,2,3,0
"ENSG00000162227.7",278,298,72,197,119,244,177,197,222
"ENSG00000168569.7",269,377,163,168,185,320,235,196,213
"ENSG00000269176.2",28,79,20,36,18,39,31,39,35
"ENSG00000185475.10",1167,1433,504,647,415,1280,753,726,817
"ENSG00000284535.1",0,0,0,0,0,0,0,0,0
"ENSG00000162231.13",2098,2554,936,2226,1667,2779,1673,1968,2811
"ENSG00000274066.1",0,0,0,0,0,0,0,0,0
"ENSG00000162236.11",1327,1596,533,1243,1014,1738,974,1103,1269
"ENSG00000269463.1",11,13,17,14,6,19,11,11,14
"ENSG00000252361.1",9,25,50,19,17,19,16,22,19
"ENSG00000256690.1",9,8,0,9,9,16,17,14,24
"ENSG00000283268.1",0,0,0,0,0,0,0,0,0
"ENSG00000133316.15",547,558,191,459,306,498,628,397,478
"ENSG00000222328.1",0,0,0,0,0,0,0,0,0
"ENSG00000255717.6",548,719,425,501,315,524,939,598,735
"ENSG00000277194.1",0,0,0,0,0,0,0,0,0
"ENSG00000277846.1",0,0,0,0,0,0,0,0,0
"ENSG00000278527.1",0,0,0,0,0,0,0,0,0
"ENSG00000274544.1",0,0,0,0,0,0,0,0,0
"ENSG00000275996.1",0,0,0,0,0,0,0,0,0
"ENSG00000276788.1",0,0,0,0,0,0,0,0,0
"ENSG00000275043.1",0,0,0,0,0,0,0,0,0
"ENSG00000168003.16",2462,2443,857,1759,1133,2287,1037,1525,2120
"ENSG00000168539.3",1785,1489,446,2137,1835,3539,203,1227,1387
"ENSG00000257002.1",84,52,13,27,5,22,11,22,12
"ENSG00000241082.3",0,0,0,0,0,0,0,0,1
"ENSG00000197901.11",0,0,0,0,0,0,0,0,0
"ENSG00000285388.1",0,0,0,0,0,0,0,0,0
"ENSG00000149452.15",0,0,0,0,0,0,0,0,0
"ENSG00000256041.1",0,0,0,0,0,0,0,0,0
"ENSG00000253547.2",8,0,0,11,1,8,0,3,2
"ENSG00000197658.9",0,0,0,0,0,0,0,0,0
"ENSG00000239924.1",0,0,0,0,0,0,0,0,0
"ENSG00000184999.11",140,20,213,15,13,23,6,8,11
"ENSG00000196600.12",0,0,0,0,0,0,0,0,0
"ENSG00000256863.1",0,0,0,0,0,0,0,0,0
"ENSG00000256847.1",5,4,0,4,1,0,0,2,2
"ENSG00000256181.1",0,0,0,0,0,0,0,0,0
"ENSG00000149742.9",6,0,0,0,0,1,0,2,0
"ENSG00000168004.9",12,65,26,16,26,19,1,21,11
"ENSG00000275598.1",0,0,0,0,0,0,0,0,0
"ENSG00000133317.14",0,0,0,2,0,1,0,0,1
"ENSG00000133321.10",837,1429,1054,314,308,488,1260,933,1133
"ENSG00000133328.3",0,6,0,1,1,1,0,5,12
"ENSG00000176485.11",246,459,552,140,134,111,694,198,166
"ENSG00000203520.3",0,0,0,0,0,0,0,0,0
"ENSG00000184743.12",6398,7678,7980,2744,3128,4424,4165,4110,3910
"ENSG00000270269.1",0,0,0,0,0,0,0,0,0
"ENSG00000256789.1",0,0,0,0,0,0,0,0,0
"ENSG00000133318.13",3523,3506,3219,1559,1181,2831,2087,2293,2409
"ENSG00000271100.1",0,0,0,0,0,0,0,0,0
"ENSG00000188070.9",265,241,123,217,243,172,171,235,232
"ENSG00000264519.2",0,0,0,0,3,0,0,0,1
"ENSG00000168005.8",309,298,151,210,199,243,133,130,261
"ENSG00000256280.1",0,1,0,1,1,1,0,1,4
"ENSG00000072518.20",2053,1980,1156,1823,1450,2490,1299,1347,1782
"ENSG00000202089.1",0,0,0,0,0,0,0,0,0
"ENSG00000167771.5",3,1,0,12,4,9,1,4,3
"ENSG00000110583.12",415,594,187,403,336,461,240,435,483
"ENSG00000207200.1",0,0,0,3,0,0,0,0,0
"ENSG00000176340.3",1630,1750,100,992,745,1488,889,1319,1090
"ENSG00000256100.1",0,0,0,0,0,0,0,0,0
"ENSG00000167770.11",1013,1059,232,681,605,1113,529,842,804
"ENSG00000133315.10",284,274,251,166,102,185,123,114,140
"ENSG00000256824.1",0,0,0,0,0,0,0,0,0
"ENSG00000256481.1",0,0,0,0,2,0,0,0,0
"ENSG00000126500.3",2,2,0,10,11,10,1,6,5
"ENSG00000256341.1",9,1,0,11,4,8,10,5,13
"ENSG00000168439.16",3116,3653,3122,1765,1564,3047,2355,2479,2882
"ENSG00000149781.12",45,64,37,50,62,54,30,43,88
"ENSG00000149743.13",589,488,139,388,302,458,353,405,288
"ENSG00000149761.8",401,373,37,273,242,351,182,200,250
"ENSG00000256116.1",22,3,10,26,15,13,6,18,17
"ENSG00000110011.13",420,357,131,231,202,310,263,217,229
"ENSG00000173511.9",499,632,368,583,672,1012,223,630,598
"ENSG00000173486.12",1835,1794,1187,1054,780,1933,593,776,998
"ENSG00000173457.10",872,472,341,283,185,392,855,330,342
"ENSG00000256940.1",2,0,0,1,0,3,6,4,0
"ENSG00000257086.1",25,13,15,27,36,21,13,16,23
"ENSG00000149782.11",471,584,212,527,527,679,335,619,570
"ENSG00000002330.13",463,398,55,357,417,429,216,240,262
"ENSG00000173264.14",326,234,21,222,146,253,146,161,224
"ENSG00000182450.12",0,0,0,0,0,0,0,0,0
"ENSG00000257069.6",0,0,0,0,0,0,0,0,0
"ENSG00000207024.1",0,1,0,0,1,0,0,0,0
"ENSG00000219435.5",0,0,0,0,0,0,0,0,0
"ENSG00000173153.13",502,467,59,297,233,326,454,347,381
"ENSG00000173113.6",1401,1541,597,950,634,1687,1396,1221,1029
"ENSG00000126432.13",1849,2881,479,1672,1445,2656,1741,2519,1914
"ENSG00000236935.1",0,0,0,2,1,0,0,0,0
"ENSG00000168071.21",92,89,51,143,117,84,34,54,109
"ENSG00000278359.1",0,0,0,0,0,2,0,0,0
"ENSG00000162302.12",508,338,99,334,176,358,180,160,291
"ENSG00000221273.1",0,0,0,0,0,0,0,0,0
"ENSG00000231680.1",0,0,0,0,3,0,0,0,0
"ENSG00000231492.2",0,0,0,0,0,0,0,0,0
"ENSG00000181908.5",51,22,40,26,5,34,25,2,4
"ENSG00000232500.1",0,0,0,0,0,0,0,0,0
"ENSG00000237363.1",0,0,0,0,0,0,0,0,0
"ENSG00000168065.15",0,0,0,0,0,2,4,0,2
"ENSG00000197891.11",0,0,0,0,0,0,0,0,0
"ENSG00000110076.18",15,18,0,10,21,11,8,8,7
"ENSG00000237410.1",0,1,11,0,0,0,1,0,0
"ENSG00000068831.18",27,61,25,54,60,56,16,43,51
"ENSG00000068976.13",98,246,51,141,197,246,52,90,124
"ENSG00000168066.20",4578,4383,2700,4271,3354,6157,2994,3864,5258
"ENSG00000269038.1",0,8,8,11,3,5,9,3,4
"ENSG00000168067.11",250,404,90,274,348,503,197,230,221
"ENSG00000133895.14",525,436,192,440,309,496,374,321,384
"ENSG00000171219.8",306,435,284,758,688,662,196,488,492
"ENSG00000110047.17",425,302,162,299,319,316,248,192,289
"ENSG00000230835.1",0,0,0,0,0,0,0,1,0
"ENSG00000229719.5",0,0,0,3,2,1,0,0,1
"ENSG00000283926.1",0,0,0,0,0,0,0,0,0
"ENSG00000284155.1",0,0,0,0,0,0,0,0,0
"ENSG00000110046.12",931,746,115,759,692,799,423,568,608
"ENSG00000274986.1",0,0,0,0,1,1,0,0,2
"ENSG00000274314.1",0,0,0,0,2,0,0,0,0
"ENSG00000068971.13",284,286,95,201,187,205,89,240,266
"ENSG00000149735.6",0,0,0,2,3,0,0,0,1
"ENSG00000168070.11",1,7,0,2,4,7,4,9,7
"ENSG00000168062.9",12,44,0,18,24,15,9,33,27
"ENSG00000213465.7",234,211,25,99,102,179,145,174,163
"ENSG00000273003.1",0,0,0,0,0,0,0,0,0
"ENSG00000278851.1",0,0,0,0,0,0,0,0,0
"ENSG00000270775.1",0,0,0,0,0,0,0,0,0
"ENSG00000110025.12",13,6,7,23,24,15,7,12,28
"ENSG00000168061.14",94,106,49,72,57,73,73,30,42
"ENSG00000168060.15",17,61,0,27,41,32,13,27,12
"ENSG00000146670.9",79,54,98,25,13,21,75,13,32
"ENSG00000162300.12",452,542,199,358,324,512,368,326,312
"ENSG00000187066.8",0,0,0,0,0,0,1,1,0
"ENSG00000149823.8",1720,1421,297,1109,884,1299,1545,890,890
"ENSG00000254501.1",6,0,0,1,2,1,4,1,0
"ENSG00000149809.14",2095,2052,343,785,853,2089,1496,1943,1031
"ENSG00000174276.6",81,61,4,53,49,77,41,27,56
"ENSG00000255173.1",0,0,0,1,2,0,0,0,0
"ENSG00000278952.1",11,16,0,0,3,7,10,7,4
"ENSG00000149806.10",3723,4348,2293,2159,2342,3290,3866,2805,2586
"ENSG00000162298.18",1567,1364,617,1580,1020,1708,665,1075,1281
"ENSG00000149792.8",1755,2369,858,1103,934,2012,1105,1765,1456
"ENSG00000284489.1",0,0,0,0,0,0,0,0,0
"ENSG00000254455.1",0,0,0,0,0,0,0,0,1
"ENSG00000222477.1",0,0,0,0,1,0,0,0,0
