"","M_B_RNA1","M_B_RNA2","M_B_RNA4","M_W_RNA6","M_B_RNA8","M_B_RNA9","M_W_RNA12","M_W_RNA14","M_W_RNA16","M_W_RNA17","M_B_RNA19","M_B_RNA20"
"ENSG00000165124.17",49,68,142,217,229,243,265,321,349,480,80,232
"ENSG00000206658.1",0,0,0,1,0,1,0,0,0,0,0,0
"ENSG00000232896.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000030304.13",0,0,0,0,0,3,0,0,0,3,0,4
"ENSG00000223918.1",1,0,0,0,0,1,0,4,0,3,0,1
"ENSG00000198121.13",231,269,263,510,632,110,399,868,271,779,56,1525
"ENSG00000206923.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207401.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000212409.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000227531.1",0,0,11,0,0,0,0,0,0,1,0,2
"ENSG00000274263.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000171133.3",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000136813.14",2135,2022,1789,9176,6669,1708,8882,4123,10414,7938,6906,6434
"ENSG00000223238.1",0,0,0,0,5,0,0,1,4,1,4,6
"ENSG00000173258.12",326,417,359,600,1112,348,538,1504,312,1259,256,1715
"ENSG00000106853.19",557,1003,311,1685,2937,147,1872,1544,5534,3047,1144,1941
"ENSG00000224644.1",0,0,0,0,0,0,0,0,0,0,0,2
"ENSG00000204173.11",1,0,0,14,0,0,0,0,0,6,3,4
"ENSG00000059769.19",95,70,109,611,504,85,978,276,279,388,504,328
"ENSG00000244115.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000242616.3",7,6,1,26,8,4,0,7,1,12,8,6
"ENSG00000165181.16",0,0,0,12,0,1,8,5,0,3,0,6
"ENSG00000224067.2",6,2,0,2,6,5,0,8,1,7,1,4
"ENSG00000206907.1",0,0,0,1,1,0,0,2,0,2,0,4
"ENSG00000148154.9",495,166,478,3840,2239,399,2266,1237,1805,1724,1434,2922
"ENSG00000266315.1",0,0,0,3,1,0,2,1,6,3,6,4
"ENSG00000222356.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000259953.1",14,19,0,51,71,16,66,43,84,65,65,58
"ENSG00000106868.16",247,249,87,546,659,86,743,308,404,475,436,379
"ENSG00000222327.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000200261.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000225513.1",0,0,0,3,5,1,0,10,1,1,12,1
"ENSG00000119314.15",932,559,648,4779,4751,629,5136,2446,3214,4306,2865,4305
"ENSG00000242256.3",1,0,0,5,11,1,6,9,1,4,6,11
"ENSG00000199525.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000243911.3",6,9,0,8,13,3,0,16,0,9,4,22
"ENSG00000230081.2",0,0,7,0,4,1,7,0,1,9,7,12
"ENSG00000213529.3",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000119471.14",445,317,420,1895,1908,182,2287,1191,1348,1764,1385,1260
"ENSG00000230185.4",6,3,0,9,20,14,25,8,10,49,27,23
"ENSG00000165185.14",224,101,228,1030,588,216,1016,349,963,841,880,500
"ENSG00000250068.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000148153.13",218,221,149,1295,950,323,929,535,753,823,893,792
"ENSG00000226609.1",0,0,0,4,0,1,0,4,1,0,4,0
"ENSG00000148158.16",314,201,237,1384,853,368,1840,516,1165,963,1846,887
"ENSG00000119457.7",4,1,0,2,4,0,0,0,2,25,0,8
"ENSG00000271631.1",1,0,0,1,1,0,0,0,6,3,13,2
"ENSG00000228623.6",4,0,0,8,6,4,8,4,34,5,21,3
"ENSG00000237906.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000285447.1",0,0,0,0,0,0,0,0,2,0,2,1
"ENSG00000136866.13",73,53,37,157,164,80,328,176,224,204,215,373
"ENSG00000285115.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000284763.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000284962.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000285076.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000284867.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000285370.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000225684.3",0,1,12,1,0,4,0,4,3,5,0,0
"ENSG00000231528.2",0,1,0,0,0,0,0,4,0,1,0,1
"ENSG00000136867.10",39,39,40,285,167,61,72,70,146,154,88,138
"ENSG00000119321.8",514,642,569,1293,1420,718,1717,1239,1128,1447,1326,1478
"ENSG00000136868.10",1219,800,1387,3438,3244,441,2424,1951,2210,3925,2507,2732
"ENSG00000176386.8",63,27,66,185,174,46,234,136,169,224,102,179
"ENSG00000136875.12",252,284,130,1098,791,192,604,813,880,1094,769,907
"ENSG00000165188.13",0,5,0,3,0,2,0,5,1,9,2,11
"ENSG00000148225.15",124,127,74,437,261,94,338,183,317,373,265,283
"ENSG00000119411.10",127,132,95,646,323,102,221,164,311,490,417,250
"ENSG00000119431.9",179,231,167,392,289,171,85,243,232,432,374,297
"ENSG00000148218.15",633,662,374,1040,1245,311,899,1594,412,3402,598,1065
"ENSG00000148229.12",195,179,249,719,619,175,649,455,1005,653,519,618
"ENSG00000157653.11",1,0,0,20,28,9,47,14,26,33,23,13
"ENSG00000138835.22",232,195,86,307,239,337,326,240,412,373,598,443
"ENSG00000237073.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000282897.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000233817.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000227482.1",0,0,0,0,0,0,0,0,4,2,0,0
"ENSG00000214669.3",0,0,0,0,0,2,0,0,0,0,0,0
"ENSG00000232905.2",0,0,0,0,0,0,1,0,0,0,0,0
"ENSG00000157657.14",348,447,240,777,279,298,562,557,1123,379,1202,898
"ENSG00000106927.11",0,0,0,4,6,0,0,8,2,2,0,5
"ENSG00000136883.14",111,69,78,376,383,48,35,175,209,75,440,139
"ENSG00000196739.14",236,754,411,177,367,177,93,591,557,265,47,1140
"ENSG00000207726.3",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000229314.5",10,0,35,7,28,0,12,13,586,14,9,7
"ENSG00000228278.3",49,0,149,57,179,0,54,39,130,48,3,1
"ENSG00000106948.16",306,550,318,607,443,567,175,650,214,449,467,677
"ENSG00000235119.1",0,0,0,4,0,1,0,0,0,5,1,2
"ENSG00000095397.13",148,254,178,421,328,754,60,543,110,225,257,338
"ENSG00000271214.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000235797.2",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000136888.6",1308,1283,558,7882,5742,824,7141,3406,6595,4330,4634,3018
"ENSG00000157693.14",783,666,711,3352,2492,753,2116,1304,1889,1509,2368,1283
"ENSG00000201749.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000230054.2",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000230601.6",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000230284.1",1,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000274919.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000181634.7",399,219,301,662,606,357,2077,285,1347,775,58,1338
"ENSG00000229817.1",0,0,0,2,2,1,0,1,0,5,0,1
"ENSG00000173077.15",1,5,0,0,4,4,17,4,5,9,0,17
"ENSG00000106952.7",6,12,0,26,12,10,32,8,10,20,12,23
"ENSG00000041982.15",1784,2954,2021,2572,2638,825,1816,5062,1739,2351,532,3251
"ENSG00000236461.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000234692.1",0,0,0,0,0,0,16,0,2,0,0,0
"ENSG00000228714.3",0,0,0,36,4,0,0,0,0,0,0,0
"ENSG00000274755.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000204148.3",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000228707.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000182752.9",12,66,33,141,52,67,37,94,20,91,6,96
"ENSG00000226604.2",13,0,0,9,11,0,12,5,3,0,74,13
"ENSG00000244757.1",6,3,0,48,46,10,27,14,16,7,84,22
"ENSG00000256040.2",25,10,7,109,117,10,142,44,42,69,318,94
"ENSG00000148219.16",1863,1720,965,5524,6766,2186,2354,4398,1507,3083,3058,2493
"ENSG00000229105.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000230894.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000119401.10",174,132,151,389,395,136,270,289,755,486,171,461
"ENSG00000285820.1",0,0,0,0,1,1,0,1,0,3,3,0
"ENSG00000230734.1",13,1,0,26,31,12,0,15,12,19,15,36
"ENSG00000207268.1",0,0,0,4,17,2,0,2,3,3,5,7
"ENSG00000201140.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000222413.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000233516.1",47,47,61,171,415,34,178,477,30,623,609,288
"ENSG00000233569.1",0,0,0,13,0,0,0,10,0,1,0,0
"ENSG00000235133.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000285082.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000136869.14",111,168,199,297,578,204,425,457,252,949,97,490
"ENSG00000201444.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000284977.1",1,0,0,9,20,5,16,19,2,44,5,53
"ENSG00000231901.1",0,2,36,2,0,2,0,1,0,14,2,10
"ENSG00000234782.3",11,11,9,14,8,2,9,6,17,8,14,8
"ENSG00000225050.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000235201.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000231166.2",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000078725.12",4,44,32,12,36,1,62,65,26,125,7,110
"ENSG00000260970.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000261432.1",1,1,0,0,0,0,0,1,0,23,0,2
"ENSG00000225960.1",0,0,0,0,0,0,0,0,0,9,0,0
"ENSG00000207814.1",0,0,0,0,0,0,0,0,0,2,0,0
"ENSG00000136861.17",666,1037,588,3062,2282,1254,4495,2021,2119,1857,1833,2104
"ENSG00000106780.8",654,407,402,2097,1917,248,1325,1162,1549,1813,877,1484
"ENSG00000238181.2",0,0,0,0,0,0,0,0,0,2,0,0
"ENSG00000119402.16",1080,856,694,3852,3190,896,4377,1973,4095,3220,3379,2645
"ENSG00000214654.8",60,28,35,251,200,20,147,72,179,164,112,134
"ENSG00000270917.1",2,0,0,3,0,0,0,4,10,1,2,0
"ENSG00000095261.13",477,355,320,1059,1833,263,1167,1047,1771,1493,1191,1528
"ENSG00000226752.9",331,313,309,391,1077,389,587,823,795,487,1378,1763
"ENSG00000119403.14",140,199,168,210,174,158,59,196,247,296,71,335
"ENSG00000056558.10",109,178,114,160,140,149,48,250,115,190,135,397
"ENSG00000106804.7",150,73,114,3214,452,178,2791,388,2586,581,2112,622
"ENSG00000119397.16",377,448,427,1316,1243,684,1848,1201,980,1442,1000,1616
"ENSG00000119396.10",815,622,454,4613,4371,500,4186,2232,2955,3668,3611,3264
"ENSG00000243738.3",4,4,1,1,0,2,0,0,5,2,6,3
"ENSG00000148180.19",1082,2062,2765,2827,1919,2892,601,3592,1643,2795,409,2728
"ENSG00000214651.4",0,0,0,3,0,0,0,0,0,0,0,0
"ENSG00000239593.1",0,0,0,0,0,1,0,0,0,0,0,0
"ENSG00000235865.2",0,0,0,0,0,0,0,1,0,0,0,0
"ENSG00000148175.12",673,858,1138,1634,1717,1057,735,2287,912,3228,315,2197
"ENSG00000227355.2",0,0,0,4,0,2,11,1,0,4,0,2
"ENSG00000204136.10",20,21,29,49,61,47,65,78,36,66,15,83
"ENSG00000240299.3",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000213467.4",0,1,1,1,9,0,0,0,0,0,4,2
"ENSG00000136848.17",550,994,482,688,1164,578,705,1030,747,1093,508,1520
"ENSG00000229854.1",0,0,0,1,0,4,0,1,0,0,0,4
"ENSG00000261534.1",38,42,5,42,30,27,56,34,49,49,40,49
"ENSG00000175764.14",35,32,19,103,114,76,69,110,98,142,117,108
"ENSG00000237548.1",6,1,0,2,2,7,0,11,1,3,7,6
"ENSG00000266583.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000119421.6",213,179,176,902,572,98,303,422,740,565,413,392
"ENSG00000185681.12",0,0,10,29,17,3,11,0,10,2,7,0
"ENSG00000106852.15",15,14,0,184,30,26,14,11,82,8,61,15
"ENSG00000119446.13",460,292,370,2302,1803,219,2389,787,1174,1242,1009,1074
"ENSG00000148187.17",285,308,249,1050,730,625,739,656,1067,825,946,931
"ENSG00000095303.15",276,179,203,83,119,95,76,209,81,279,33,461
"ENSG00000269970.1",1,0,0,0,0,1,0,1,0,0,1,0
"ENSG00000233616.2",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000229245.2",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000231465.2",0,0,0,0,0,0,0,1,1,0,0,0
"ENSG00000136834.3",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000197233.7",0,0,0,0,0,0,0,1,0,0,0,0
"ENSG00000239590.1",0,0,0,0,0,1,0,2,0,0,0,0
"ENSG00000171505.5",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000171501.9",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000171496.4",0,9,0,2,1,1,1,7,5,3,2,6
"ENSG00000228914.2",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000234156.1",0,0,0,0,0,2,0,3,0,0,0,0
"ENSG00000165202.3",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000280094.2",2,4,0,0,4,1,0,2,1,4,0,0
"ENSG00000173679.2",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000171481.4",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000226783.1",0,0,0,1,3,0,0,0,0,0,0,0
"ENSG00000136939.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000171459.4",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000232387.2",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000148215.4",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000136940.13",206,187,121,941,837,160,1139,470,709,782,583,685
"ENSG00000165204.3",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000233425.1",2,1,0,0,0,0,0,0,1,0,0,0
"ENSG00000056586.15",777,818,736,3658,3092,712,4314,1905,2533,2851,2285,2949
"ENSG00000212447.1",0,0,0,2,1,0,5,2,1,0,2,1
"ENSG00000186130.4",140,28,26,705,630,140,758,421,620,791,429,712
"ENSG00000171448.8",151,57,62,438,511,101,556,355,537,564,411,698
"ENSG00000261094.2",34,8,37,144,90,32,202,69,80,106,133,92
"ENSG00000011454.16",1503,1398,1139,2801,4180,1314,3566,3074,2996,4319,3130,4145
"ENSG00000222351.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000213216.2",9,10,13,1,3,0,0,1,3,4,4,0
"ENSG00000188394.6",0,0,0,0,2,0,0,0,4,2,2,0
"ENSG00000225078.2",0,0,0,0,0,0,0,0,4,1,0,1
"ENSG00000236901.6",40,64,0,80,126,80,58,88,164,119,127,293
"ENSG00000165209.18",396,267,270,1675,1750,349,1591,1003,1812,1763,1201,1812
"ENSG00000283941.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000148204.11",0,0,9,0,0,0,16,7,1,0,1,3
"ENSG00000119522.16",310,359,216,1192,584,464,741,612,496,522,1367,515
"ENSG00000207991.1",2,0,0,4,0,0,0,3,2,5,9,3
"ENSG00000274932.1",1,0,0,0,0,1,0,7,0,2,2,0
"ENSG00000237336.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000230826.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000229115.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000234881.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000106689.10",0,0,0,0,0,0,0,0,0,0,10,0
"ENSG00000236668.2",0,0,0,0,0,0,0,0,0,0,0,1
"ENSG00000231227.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000234921.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000119408.16",719,776,567,3373,1914,1183,1917,1246,2278,1164,1148,1229
"ENSG00000235204.1",0,0,0,3,0,0,0,0,0,0,0,0
"ENSG00000227200.1",1,0,0,20,11,11,4,2,14,15,5,13
"ENSG00000136930.12",468,550,381,2036,1057,294,1346,728,1762,1291,968,967
"ENSG00000180264.11",8,84,14,0,6,2,0,39,0,4,3,40
"ENSG00000136931.9",0,0,0,1,0,0,0,0,0,0,0,0
"ENSG00000231149.2",0,0,0,0,0,0,0,0,0,0,2,1
"ENSG00000148200.16",44,53,44,148,105,46,86,108,51,181,112,177
"ENSG00000231744.1",3,8,19,4,15,19,12,15,2,10,6,6
"ENSG00000241246.3",0,0,0,0,0,0,0,2,0,0,0,1
"ENSG00000224020.1",9,16,0,1,0,0,6,5,0,3,0,12
"ENSG00000207595.1",0,0,0,0,0,8,0,0,0,1,0,1
"ENSG00000207737.1",0,0,0,0,0,0,0,0,0,1,0,3
"ENSG00000236643.1",0,0,0,0,0,1,0,0,0,1,0,0
"ENSG00000185585.19",161,171,304,128,337,128,89,622,141,551,20,431
"ENSG00000136918.7",0,0,0,0,0,0,0,1,0,2,2,0
"ENSG00000136942.14",2023,2035,1752,9272,5145,2211,7245,3610,12142,5358,3851,4841
"ENSG00000136950.13",83,113,55,622,358,104,454,222,419,360,325,237
"ENSG00000136935.13",336,426,534,1104,1093,638,1181,1005,921,1265,1034,1010
"ENSG00000199313.1",0,3,0,1,0,0,0,0,1,1,0,1
"ENSG00000173611.17",138,133,180,595,775,263,775,611,770,1128,427,914
"ENSG00000177736.4",0,0,0,3,5,2,8,6,4,4,5,7
"ENSG00000119414.11",496,301,313,2572,2555,286,2547,1338,2197,2326,1513,2061
"ENSG00000232630.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000235332.2",0,0,0,0,0,0,0,0,1,0,0,0
"ENSG00000136933.16",134,133,52,369,282,130,278,195,308,345,296,275
"ENSG00000044574.7",5188,4111,3926,13973,16029,1242,19444,5585,5797,11833,18140,8022
"ENSG00000239705.1",0,0,0,0,0,0,0,0,2,0,0,4
"ENSG00000165219.21",840,903,952,3457,2654,1044,3271,2042,2286,3246,2153,2818
"ENSG00000214593.3",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000200554.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000227845.2",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000274510.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000119487.16",642,438,429,2073,1515,744,2121,1139,1615,1458,1524,1427
"ENSG00000243845.3",0,0,17,2,5,4,0,2,2,4,3,3
"ENSG00000227068.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000214761.3",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000229582.3",2,0,0,1,0,0,0,0,1,1,2,4
"ENSG00000167081.16",468,286,394,1959,1778,529,2010,995,1110,1340,2528,1321
"ENSG00000232413.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000228392.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000196814.14",153,276,104,325,256,221,157,321,238,374,270,467
"ENSG00000253079.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000252985.1",0,0,0,2,0,0,0,7,2,5,6,7
"ENSG00000233721.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000279137.1",0,0,0,0,0,0,0,1,0,0,0,3
"ENSG00000226078.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000224842.2",0,0,0,3,0,5,0,0,0,0,0,0
"ENSG00000136944.17",2,0,0,56,2,20,1,5,7,1,7,11
"ENSG00000238010.1",0,0,0,0,0,0,0,0,0,0,0,3
"ENSG00000169155.9",306,334,312,899,792,266,790,585,614,900,709,1081
"ENSG00000177125.5",157,206,185,495,605,240,427,489,468,559,366,639
"ENSG00000136828.18",222,247,339,624,598,317,289,473,487,805,674,737
"ENSG00000136859.9",176,189,97,146,297,420,209,847,188,623,52,930
"ENSG00000228487.2",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000136895.18",273,325,197,489,549,266,345,461,358,634,1986,1008
"ENSG00000229369.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000271833.1",7,6,0,18,10,11,18,12,9,19,76,25
"ENSG00000136856.17",78,152,57,207,124,85,9,190,195,162,148,156
"ENSG00000196152.10",101,151,45,295,262,158,190,294,292,330,259,242
"ENSG00000197958.12",6287,6149,4031,25153,10024,6212,14056,7780,28350,14438,10733,12653
"ENSG00000201302.1",3,40,9,106,48,406,40,179,76,22,86,30
"ENSG00000148356.13",201,428,108,631,352,580,323,558,357,501,575,429
"ENSG00000200788.1",6,0,0,1,4,1,0,2,3,0,5,2
"ENSG00000136830.11",1779,1877,1054,6344,3559,2461,1449,2944,2899,3249,3241,2560
"ENSG00000136854.20",162,136,194,287,414,110,314,216,239,346,195,333
"ENSG00000279571.3",0,0,0,2,2,5,0,0,1,2,2,1
"ENSG00000187024.14",41,8,3,107,47,39,26,51,91,49,43,48
"ENSG00000283874.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000160401.14",11,0,0,4,2,2,0,4,5,3,20,9
"ENSG00000167094.15",1,0,0,1,0,3,0,2,0,1,2,5
"ENSG00000160404.17",60,93,6,158,88,36,18,80,113,66,95,77
"ENSG00000095370.19",14,35,12,32,23,88,46,34,12,26,12,64
"ENSG00000136807.13",284,429,289,849,535,339,348,783,542,838,534,606
"ENSG00000283863.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000284547.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000136877.14",245,428,237,645,483,255,151,537,577,572,371,419
"ENSG00000106991.13",131,346,182,172,222,428,134,249,227,152,102,335
"ENSG00000225032.5",29,72,0,35,31,49,22,91,18,70,42,109
"ENSG00000222421.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000222455.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000106992.18",3,5,5,22,8,12,3,23,13,11,3,6
"ENSG00000257524.6",0,0,0,2,0,2,0,4,0,5,2,4
"ENSG00000263979.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000160408.14",0,0,0,0,1,4,2,4,0,5,4,3
"ENSG00000136840.18",19,43,29,18,52,36,8,55,7,51,5,65
"ENSG00000167103.11",5,18,0,8,0,23,0,18,5,27,11,29
"ENSG00000227218.7",0,0,1,0,0,0,0,0,0,0,0,0
"ENSG00000136908.17",119,154,29,497,274,181,72,216,244,249,417,219
"ENSG00000167106.11",250,358,173,1048,651,584,198,413,314,594,749,451
"ENSG00000230848.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000171169.8",75,76,62,189,137,47,86,94,138,139,96,118
"ENSG00000148339.12",388,442,173,3964,912,612,377,763,642,869,1146,1153
"ENSG00000230536.1",0,0,0,1,0,0,0,0,0,0,0,0
"ENSG00000234771.3",65,58,37,45,84,79,0,122,36,109,99,128
"ENSG00000148334.14",168,219,60,637,348,226,191,339,454,376,310,267
"ENSG00000232850.3",0,8,2,1,2,4,0,2,3,6,1,7
"ENSG00000148346.11",608,239,619,164,172,64,85,361,84,1153,65,1556
"ENSG00000171159.4",111,175,89,190,101,127,8,167,113,194,84,120
"ENSG00000148337.20",611,843,422,1242,766,848,895,1020,1247,752,1114,705
"ENSG00000106976.20",126,240,24,39,67,159,43,120,39,63,83,280
"ENSG00000207581.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000264823.3",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000167110.17",942,1276,901,3732,3051,1553,2567,2312,2255,2608,3554,2055
"ENSG00000175854.11",114,177,83,511,322,103,385,200,261,347,235,194
"ENSG00000167112.9",270,365,275,1490,798,540,995,595,1554,851,1082,684
"ENSG00000272696.1",18,0,0,12,3,8,0,9,1,16,6,7
"ENSG00000167113.10",359,438,277,973,755,402,263,690,769,768,775,599
"ENSG00000167114.12",273,220,155,841,416,263,169,213,413,295,753,192
"ENSG00000223551.1",12,12,26,5,3,12,1,5,3,4,14,8
"ENSG00000167118.10",205,276,153,696,413,175,186,404,645,494,455,341
"ENSG00000272593.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207955.5",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000284185.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000283335.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000167123.18",179,284,98,183,242,222,34,323,81,162,64,249
"ENSG00000273186.1",0,10,0,1,3,1,5,1,0,5,2,3
"ENSG00000228510.2",0,10,0,11,3,4,9,2,0,1,0,4
"ENSG00000136811.16",409,667,333,1126,1342,502,1375,892,1052,1155,1241,1044
"ENSG00000225951.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000119392.14",369,325,340,1213,1014,301,801,534,996,1109,917,1051
"ENSG00000228395.1",0,9,0,3,6,6,14,9,3,7,2,8
"ENSG00000238406.1",0,0,0,0,0,0,0,0,0,2,1,0
"ENSG00000197694.15",2648,3430,3692,7558,7762,4526,7004,8606,5850,8816,5130,7245
"ENSG00000280474.1",0,3,0,2,4,9,0,7,0,5,6,5
"ENSG00000280758.1",0,0,1,7,6,6,0,7,0,4,7,8
"ENSG00000119333.11",146,232,146,609,311,167,67,317,275,242,215,176
"ENSG00000227759.2",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000234705.1",1,13,0,21,5,3,0,11,5,15,12,11
"ENSG00000119335.16",2193,1418,1629,8948,6870,1630,9763,4395,10553,7211,4949,6307
"ENSG00000160447.6",13,51,30,46,29,55,8,37,28,33,11,35
"ENSG00000264438.2",0,0,0,0,0,0,0,0,0,1,0,0
"ENSG00000160446.18",170,208,183,402,265,147,21,270,187,171,251,152
"ENSG00000223478.1",16,20,0,95,86,9,126,43,31,90,42,49
"ENSG00000160445.10",583,767,366,1800,960,662,625,1022,965,1100,1122,858
"ENSG00000203286.5",0,3,0,1,2,4,0,6,1,6,1,8
"ENSG00000107021.15",209,268,179,669,451,331,208,374,443,541,535,407
"ENSG00000167136.6",61,59,78,155,94,25,47,91,139,69,49,61
"ENSG00000198917.12",280,331,146,690,605,330,325,617,548,559,539,465
"ENSG00000171097.13",148,86,77,242,196,323,21,289,102,213,93,129
"ENSG00000136802.11",861,975,535,2068,1405,910,863,1508,1095,1591,1008,1068
"ENSG00000175287.18",150,134,183,398,139,71,156,170,23,305,417,362
"ENSG00000251184.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000175283.7",213,115,134,711,441,86,233,324,459,407,354,248
"ENSG00000095319.14",584,774,516,1995,1497,449,760,1170,1659,1600,1347,1309
"ENSG00000267834.1",0,0,0,1,0,5,0,2,2,2,3,2
"ENSG00000148341.17",602,1247,368,1234,997,1646,245,1527,1015,1578,1386,1106
"ENSG00000148343.18",161,338,148,370,276,327,150,401,303,406,391,349
"ENSG00000167130.17",123,165,188,620,482,108,225,257,356,340,384,297
"ENSG00000095321.16",340,813,536,1684,1058,1401,798,664,804,1399,788,790
"ENSG00000234055.1",0,0,0,0,0,0,0,0,0,0,0,0
